"NetCashOps" "NCF.pf" "TotalProperties" "Presence"
1508649 27941.82 6 "0"
-599708 16062.53 6 "1"
678199 46260.74 7 "0"
1193535 234345.19 7 "1"
560604 131351.79 10 "1"
772250 250122.68 10 "1"
505252 144775.97 12 "1"
205498 43355.77 11 "1"
171558 91382.34 12 "0"
344350 -135869 14 "0"
359074 86801.48 3 "1"
-141994 64183.15 3 "0"
-468819 -12611.47 3 "1"
333177 50488.39 3 "1"
533290 47330.1 3 "1"
1091999 70183 4 "1"
921502 103200 5 "1"
445569 100621 6 "1"
2710810 235485 7 "1"
1940634 83557 7 "1"
1879310 108288.55 7 "0"
308320 840432 29 "0"
14018 1309541 30 "0"
1525851 143989.01 2 "0"
875757 135121.86 3 "0"
367246 192127.72 3 "0"
-72722 617970 3 "0"
-844316 156843 3 "0"
-1014554 -96362.01 3 "0"
-3328906 -133526 3 "1"
1793333 88969.48 3 "0"
18469829 85311.37 3 "0"
961316 115914.35 3 "0"
7012332 92859.07 3 "0"
-3858567 82544.44 3 "0"
2227659 221651.53 3 "0"
2335028 510342 30 "0"
1286276 694868 34 "0"
1166884 665202 34 "0"
-252415 -62608 13 "1"
-339502 23195.17 16 "1"
-83857 269682.25 17 "1"
668536 13703.02 17 "1"
441256 151686.69 18 "1"
386256 105232.42 18 "1"
-404567 102855.67 21 "1"
123756 -59420 6 "1"
775416 203 6 "1"
508213 158143 8 "1"
215201 47378 9 "0"
820827 -80383 12 "0"
185965 30700 10 "0"
3446336 3260035 24 "0"
8099250 2988931 25 "0"
11291775 4047849 28 "1"
11927874 3910291.48 25 "1"
6568405 9281503.3 25 "1"
12615962 10430170.72 25 "1"
3243507 14130344.44 25 "1"
1644555 658631.8 9 "0"
2804522 277396 11 "0"
3780419 1800802.52 11 "0"
3365107 3018943 11 "0"
3837736 2540130 12 "0"
5097866 3995880 13 "0"
4490035 5463294 13 "0"
2575448 139802.4 4 "1"
71644 101415 4 "0"
676931 54751 4 "0"
501325 91705 5 "0"
576003 -6294.83 2 "0"
462369 7330.86 2 "1"
356517 -17507.4 4 "1"
-2989853 -82152 5 "0"
200893 -145273 5 "0"
173180 -42223 5 "0"
-836045 548127 6 "0"
2344707 289774 7 "0"
-86487 330873 8 "0"
1526488 500675 8 "0"
3485037 723893 8 "0"
2635179 607219.15 24 "0"
91718 1035711.45 23 "0"
60597 1605677 26 "0"
3579203 1585675.12 26 "0"
3801192 690037 26 "0"
3202651 1848566.71 27 "0"
3102717 1459296 28 "0"
5600633 2935420 26 "0"
705352 -19097 4 "0"
118237 -10949 4 "0"
1126764 64789 4 "0"
2450765 115817 5 "0"
2602250 1124295 23 "1"
1619310 1723511 23 "0"
2212192 1227198 25 "0"
4673533 1090959.73 28 "0"
3781229 45299726.71 28 "0"
2466245 2666839 21 "0"
3414715 2627870.05 26 "0"
2612424 4533487 29 "0"
1575209 -28870.93 15 "0"
2076980 192850.88 17 "1"
3151393 45326.4 18 "1"
